batch_id,date,pH,temperature,taste,odor,fat,turbidity,color,grade
BATCH_0001,2024-10-07 22:05:54.024883,6.799342830602247,5.5567221523332755,7,8,3.9343315211778576,2.8957354624650478,80.09476347468427,A
BATCH_0002,2024-10-08 22:05:54.024883,6.672347139765764,2.897628567342933,10,10,2.658327652713584,2.641155414691195,114.86329375576429,C
BATCH_0003,2024-10-09 22:05:54.024883,6.829537707620139,2.363602233155386,9,8,3.3423985369182607,4.598732354050425,102.08964052029893,B
BATCH_0004,2024-10-10 22:05:54.024883,7.004605971281605,3.993251085178096,7,3,3.380923532478071,1.1145906081818706,90.19069539372221,A
BATCH_0005,2024-10-11 22:05:54.024883,6.653169325055333,3.6596307549501432,10,7,3.792065742409406,2.5292689839048266,87.97234272497516,C
BATCH_0006,2024-10-12 22:05:54.024883,6.653172608610164,3.0935439013454498,7,7,3.8069331730703904,2.9313450998777633,80.35176644872898,C
BATCH_0007,2024-10-13 22:05:54.024883,7.0158425631014785,5.392774894913431,8,10,3.1277197298034856,2.243597444467704,84.11087409096538,C
BATCH_0008,2024-10-14 22:05:54.024883,6.853486945830582,5.910610417141021,2,6,3.292813669147408,1.1629248921121618,78.11275843475727,B
BATCH_0009,2024-10-15 22:05:54.024883,6.60610512281301,4.176813772583695,7,7,3.7225521274163533,3.7571027806551944,84.36373596180397,C
BATCH_0010,2024-10-16 22:05:54.024883,6.8085120087171935,6.955060162110524,2,2,3.1005396720406178,2.836934330144052,71.37805108617347,A
BATCH_0011,2024-10-17 22:05:54.024883,6.607316461437508,1.71662177173299,10,9,4.103059217387141,1.233103287073406,70.84228986944176,B
BATCH_0012,2024-10-18 22:05:54.024883,6.606854049285949,3.612681081440564,2,10,3.8045876167201205,2.93866796255826,98.0101566265471,B
BATCH_0013,2024-10-19 22:05:54.024883,6.748392454313207,2.5663553587943904,7,10,3.585754774097422,4.2015660700528565,68.87690264020583,A
BATCH_0014,2024-10-20 22:05:54.024883,6.317343951068441,0.2669267658538801,6,1,3.6954702991404598,2.46368406658408,93.86138153494132,A
BATCH_0015,2024-10-21 22:05:54.024883,6.3550164334973935,3.8346386283146017,8,1,3.2665546915296,2.497787330529438,66.05617804074092,C
BATCH_0016,2024-10-22 22:05:54.024883,6.587542494151806,3.756504983233433,5,3,3.186854288906191,4.068005031043319,91.2963760302559,A
BATCH_0017,2024-10-23 22:05:54.024883,6.497433775933115,7.026899486484262,1,2,3.2876388919306394,1.5296160182487468,82.9241565485696,B
BATCH_0018,2024-10-24 22:05:54.024883,6.762849466519055,5.2616233691095555,1,1,3.7499833461299246,4.227552042620681,98.21316202803405,A
BATCH_0019,2024-10-25 22:05:54.024883,6.518395184895758,1.9516263513415901,9,7,3.600507490354327,3.472911070368237,81.68005541119923,A
